Year,CityName,Measure,PopulationCount,MeasureId,Short_Question_Text
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,3934,SLEEP,Sleep <7 hours
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,1136,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,2469,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,4228,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,2016,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,8143,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,73,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,1631,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,3784,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,2333,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,5196,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,6839,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,3089,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,2991,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,4247,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,2206,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,8757,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,2059,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,1717,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,4591,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,2881,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,7040,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,2601,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,2618,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,3400,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,2867,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,3366,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,3296,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,2481,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,3849,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,2234,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,1270,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,7883,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,1130,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,2896,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,992,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,2758,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,6051,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,2487,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,1,SLEEP,Sleep <7 hours
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,4235,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,5323,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,2929,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,3663,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,7527,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,3307,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,3156,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,4544,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,4256,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,4933,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,2557,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,4214,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,1818,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,322,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,4346,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,5253,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,1909,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,1420,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,1597,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,5218,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,1521,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,4442,SLEEP,Sleep <7 hours
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,2778,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,27,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,2549,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,1304,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,2991,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,1992,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,1790,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,6136,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,3363,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,4304,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,3946,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,4864,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,2309,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,914,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,2924,SLEEP,Sleep <7 hours
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,1349,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,3318,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,5842,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,1899,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,3481,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,5318,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,2164,SLEEP,Sleep <7 hours
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,1761,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,3218,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,4278,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,4904,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,2229,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,14,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,3730,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,4693,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,3971,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,3025,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,2628,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,2595,SLEEP,Sleep <7 hours
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,1367,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,6398,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,2406,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,1969,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,5838,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,1264,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,1579,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,5090,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,6398,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,2853,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,3228,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,6330,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,4304,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,1717,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,2120,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,512,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,4274,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,9009,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,4700,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,6942,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,2256,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,8631,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,3305,SLEEP,Sleep <7 hours
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,2180,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,2811,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,2932,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,3344,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,2148,SLEEP,Sleep <7 hours
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,6418,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,6151,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,1326,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,3202,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,6215,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,3480,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,7614,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,4415,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,5955,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,5245,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,4222,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,3891,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,2670,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,1585,SLEEP,Sleep <7 hours
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,4591,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,3595,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,3841,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,1708,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,2555,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,5415,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,1978,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,2143,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,4120,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,5899,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,4152,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,6253,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,4397,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,3598,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,5495,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,6127,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,1802,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,4395,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,1788,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,3359,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,5600,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,4190,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,5191,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,6743,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,4871,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,4479,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,2134,SLEEP,Sleep <7 hours
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,2206,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,1663,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,4495,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,1191,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,2432,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,1668,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,2306,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,1963,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,6330,SLEEP,Sleep <7 hours
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,3502,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,1706,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,1708,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,2504,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,5378,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,4725,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,2119,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,5758,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,2474,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,3947,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,4217,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,2419,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,2111,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,8989,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,2996,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,5922,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,1401,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,2248,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,3252,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,1769,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,4597,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,2700,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,2383,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,1797,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,5102,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,7001,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,3168,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,5586,SLEEP,Sleep <7 hours
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,25,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,2662,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,4028,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,1826,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,1542,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,1806,SLEEP,Sleep <7 hours
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,2746,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,1067,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,2516,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,3254,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,8154,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,1543,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,8428,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,5301,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,3531,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,11288,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,3042,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,2736,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,4301,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,2719,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,1537,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,1471,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,4816,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,2967,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,2167,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,2510,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,2147,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,3510,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,1675,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,3245,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,3657,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,4138,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,3624,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,2868,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,3928,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,2471,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,2650,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,113,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,6740,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,4767,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,4064,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,4340,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,3094,SLEEP,Sleep <7 hours
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,4241,SLEEP,Sleep <7 hours
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,5823,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,2794,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,4116,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,2419,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,3207,SLEEP,Sleep <7 hours
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,3106,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,3487,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,5128,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,3313,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,2795,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,5461,MHLTH,Mental Health
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,3347,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,5017,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,1,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,3510,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,2159,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,2532,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,1979,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,1850,SLEEP,Sleep <7 hours
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,5339,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,2754,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,4607,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,5294,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,1736,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,5508,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,4353,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,3236,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,6067,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,4301,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,3388,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,3492,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,6437,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,2603,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,1524,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,4763,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,5370,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,3154,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,5271,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,3673,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,7501,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,1829,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,2288,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,3604,SLEEP,Sleep <7 hours
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,2173,SLEEP,Sleep <7 hours
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,1090,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,4643,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,3005,SLEEP,Sleep <7 hours
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,1803,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,3075,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,3934,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,2950,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,2114,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,3415,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,3050,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,2063,SLEEP,Sleep <7 hours
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,10820,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,4587,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,3493,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,3596,SLEEP,Sleep <7 hours
2017,New York,Obesity among adults aged >=18 Years,3752,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,1597,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,5696,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,8207,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,4669,MHLTH,Mental Health
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,2100,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,4536,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,2377,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,2303,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,10910,OBESITY,Obesity
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,5805,MHLTH,Mental Health
2017,New York,Obesity among adults aged >=18 Years,5318,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,1510,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,4160,OBESITY,Obesity
2017,New York,Obesity among adults aged >=18 Years,1932,OBESITY,Obesity
2016,New York,Sleeping less than 7 hours among adults aged >=18 Years,1791,SLEEP,Sleep <7 hours
2017,New York,Mental health not good for >=14 days among adults aged >=18 Years,5488,MHLTH,Mental Health
